电影名,导演,年份,评分,评价人数
致命魔术,克里斯托弗·诺兰 Christopher Nolan,2006,8.9,961274
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,8.9,955676
超脱,托尼·凯耶 Tony Kaye,2011,9.0,719980
哈利·波特与密室,Chris Columbus,2002,8.9,912839
一一,杨德昌 Edward Yang,2000,9.1,505887
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,8.8,1091178
摩登时代,查理·卓别林 Charles Chaplin,1936,9.3,345579
杀人回忆,奉俊昊 Joon-ho Bong,2003,8.9,833790
致命ID,詹姆斯·曼高德 James Mangold,2003,8.9,944631
春光乍泄,王家卫 Kar Wai Wong,1997,9.0,707602
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,8.8,965511
海豚湾,路易·西霍尤斯 Louie Psihoyos,2009,9.3,381781
美国往事,赛尔乔·莱翁内 Sergio Leone,1984,9.1,470163
红辣椒,今敏 Satoshi Kon,2006,9.0,567387
七宗罪,大卫·芬奇 David Fincher,1995,8.8,1058447
唐伯虎点秋香,李力持 Lik-Chi Lee,1993,8.8,1221100
狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,9.1,468497
幽灵公主,宫崎骏 Hayao Miyazaki,1997,8.9,667489
甜蜜蜜,陈可辛 Peter Chan,1996,8.9,670640
寄生虫,奉俊昊 Joon-ho Bong,2019,8.8,1544064
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,8.9,812292
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian,1983(中国大陆) / 2021,9.2,333486
7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,8.9,620680
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,8.8,1142268
第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,8.9,635135
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,8.8,798047
茶馆,谢添 Tian Xie,1982(中国大陆),9.5,207375
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,8.9,651636
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,8.8,773875
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,8.8,799367
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,8.8,803317
未麻的部屋,今敏 Satoshi Kon,1997,9.1,423957
重庆森林,王家卫 Kar Wai Wong,1994,8.8,920944
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,8.9,626557
入殓师,泷田洋二郎 Yôjirô Takita,2008,8.9,741979
菊次郎的夏天,北野武 Takeshi Kitano,1999,8.9,672349
断背山,李安 Ang Lee,2005,8.8,781390
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,8.7,1119101
勇敢的心,梅尔·吉布森 Mel Gibson,1995,8.9,604871
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,8.8,790778
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,8.8,863414
消失的爱人,大卫·芬奇 David Fincher,2014,8.7,1071289
无人知晓,是枝裕和 Hirokazu Koreeda,2004,9.1,371642
倩女幽魂,程小东 Siu-Tung Ching,1987,8.8,834546
傲慢与偏见,乔·怀特 Joe Wright,2005,8.7,931355
花样年华,王家卫 Kar Wai Wong,2000,8.8,803137
新世界,朴勋政 Hoon-jung Park,2013,8.9,526207
玩具总动员3,李·昂克里奇 Lee Unkrich,2010,8.9,591537
完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,9.1,359641
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,8.9,567746
色，戒,李安 Ang Lee,2007,8.7,959088
阳光灿烂的日子,姜文 Wen Jiang,1994,8.8,694705
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,8.8,769090
小森林 夏秋篇,森淳一 Junichi Mori,2014,9.0,472741
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,8.7,1020153
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,9.0,431507
侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,8.9,519893
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,9.2,307795
九品芝麻官,王晶 Jing Wong,1994,8.8,792751
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,8.8,822799
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,8.8,691099
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,8.8,641170
釜山行,延尚昊 Sang-ho Yeon,2016,8.6,1348272
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,8.7,1045469
小森林 冬春篇,森淳一 Junichi Mori,2015,9.0,420099
喜宴,李安 Ang Lee,1993,9.0,430833
萤火之森,大森贵弘 Takahiro Omori,2011,8.8,610043
告白,中岛哲也 Tetsuya Nakashima,2010,8.8,742965
玛丽和麦克斯,亚当·艾略特 Adam Elliot,2009,9.0,470141
七武士,黑泽明 Akira Kurosawa,1954,9.3,235131
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,8.6,1515159
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,8.8,719374
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,9.0,355801
大鱼,蒂姆·波顿 Tim Burton,2003,8.8,626389
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,8.7,1140898
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,8.7,717383
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,8.7,858922
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,9.5,179427
你的名字。,新海诚 Makoto Shinkai,2016,8.5,1591289
机器人之梦,巴勃罗·贝格尔 Pablo Berger,2023,9.1,434926
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,9.0,376181
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,8.8,638127
恐怖直播,金秉祐 Byeong-woo Kim,2013,8.7,727734
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,496994
小丑,托德·菲利普斯 Todd Phillips,2019,8.7,1124712
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,919312
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.9,470523
电锯惊魂,詹姆斯·温 James Wan,2004,8.7,612448
末路狂花,雷德利·斯科特 Ridley Scott,1991,9.0,346010
高山下的花环,谢晋 Jin Xie,1984(中国大陆) / 1985,9.5,158243
无间道2,刘伟强 Andrew Lau / 麦兆辉 Alan Mak,2003,8.8,566430
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,505581
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,920740
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,8.9,387919
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.9,472924
疯狂的石头,宁浩 Hao Ning,2006,8.6,925367
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,268419
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.9,395993
海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,520629
风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,393398
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,9.0,333244
心迷宫,忻钰坤 Yukun Xin,2014,8.7,617013
英雄本色,吴宇森 John Woo,1986,8.6,605875
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,668504
纵横四海,吴宇森 John Woo,1991,8.8,473401
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,611787
卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,366961
东京教父,今敏 Satoshi Kon,2003,9.0,290914
小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,894911
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,368770
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,989097
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.7,685632
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,524178
芙蓉镇,谢晋 Jin Xie,1987,9.3,189638
忠犬八公物语,神山征二郎 Seijirô Kôyama,1987,9.2,218558
岁月神偷,罗启锐 Alex Law,2010,8.7,612546
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.7,517375
遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,538047
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,553596
源代码,邓肯·琼斯 Duncan Jones,2011,8.6,925280
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,826366
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,618352
白日梦想家,本·斯蒂勒 Ben Stiller,2013,8.6,646525
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,375671
可可西里,陆川 Chuan Lu,2004,8.9,346336
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,806737
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,1112159
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,689775
城市之光,查理·卓别林 Charles Chaplin,1931,9.3,172797
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,8.6,690719
东邪西毒,王家卫 Kar Wai Wong,1994,8.6,635300
青蛇,徐克 Hark Tsui,1993,8.6,601027
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.6,695478
